symbol,window_name,window_months,window_start_timestamp,window_end_timestamp,bars_loaded,signal_events,trades_or_labelled_outcomes,hit_rate,same_window_baseline_hit_rate,baseline_name,lift_over_baseline_pp,expectancy_before_cost,expectancy_after_cost,profit_factor,max_drawdown,positive_weeks,total_weeks,positive_week_pct,positive_months,total_months,positive_month_pct,largest_week_profit_share,largest_month_profit_share,largest_week_or_month_profit_contribution,sample_size_minimum,sample_size_sufficient,recent_regime_label,comments_failure_reason
MNQ,1_month,1,2026-02-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,1525,7,3,1.0,0.3333333333333333,random_direction,66.66666666666667,88.69176252374261,87.69176252374261,inf,0.0,2,2,1.0,2,2,1.0,0.6551169229804248,0.6551169229804248,0.6551169229804248,20,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
MNQ,3_month,3,2025-12-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,4809,25,17,0.8235294117647058,0.23529411764705882,random_direction,58.823529411764696,11.796930633571344,10.796930633571344,1.2273038028120282,-405.23654691629054,6,9,0.6666666666666666,3,4,0.75,1.5586539195303106,1.7018766306828466,1.7018766306828466,30,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
MNQ,6_month,6,2025-09-06T15:55:00-04:00,2026-03-06T15:55:00-05:00,9810,48,30,0.6666666666666666,0.3333333333333333,random_direction,33.33333333333333,-54.98857659661977,-55.98857659661977,0.4653327079743456,-2519.2491173453454,9,17,0.5294117647058824,4,7,0.5714285714285714,,,,50,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
MNQ,12_month,12,2025-03-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,19774,124,86,0.6511627906976745,0.313953488372093,random_direction,33.720930232558146,-22.929858282869624,-23.929858282869624,0.7046968270445132,-2953.5875520499176,22,40,0.55,7,13,0.5384615384615384,,,,75,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
RTY,1_month,1,2026-02-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,1525,18,4,1.0,0.75,random_direction,25.0,82.08909434501379,72.08909434501379,inf,0.0,3,3,1.0,2,2,1.0,0.6513108386360072,0.6513108386360072,0.6513108386360072,20,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
RTY,3_month,3,2025-12-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,4809,52,18,0.7777777777777778,0.3888888888888889,random_direction,38.88888888888889,-61.02671126585493,-71.02671126585493,0.5514102446367043,-1966.0083463643878,8,11,0.7272727272727273,2,4,0.5,,,,30,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
RTY,6_month,6,2025-09-06T15:55:00-04:00,2026-03-06T15:55:00-05:00,9810,98,42,0.6666666666666666,0.2619047619047619,random_direction,40.476190476190474,-89.39294370971939,-99.39294370971939,0.4347320736888018,-4910.3232630249795,15,22,0.6818181818181818,3,7,0.42857142857142855,,,,50,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
RTY,12_month,12,2025-03-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,19774,193,94,0.6702127659574468,0.3723404255319149,random_direction,29.787234042553195,-41.033233737404046,-51.033233737404046,0.6648883009908514,-5886.0399620968365,32,48,0.6666666666666666,6,13,0.46153846153846156,,,,75,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
MYM,1_month,1,2026-02-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,1525,10,6,0.8333333333333334,0.16666666666666666,random_direction,66.66666666666667,38.82839240192455,37.82839240192455,6.217709296817179,-43.5,3,4,0.75,2,2,1.0,0.7473211050805885,0.7473211050805885,0.7473211050805885,20,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
MYM,3_month,3,2025-12-06T15:55:00-05:00,2026-03-06T15:55:00-05:00,4809,29,18,0.6111111111111112,0.5,random_direction,11.111111111111116,-0.020255898673996044,-1.020255898673996,0.9477536097407342,-266.94859213711607,5,12,0.4166666666666667,1,4,0.25,,,,30,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
